lake,elev_m,area_m2,vol_m3
Pleasant,298.1835192,513156.825,2274314.522
Pleasant,298.2139992,514330.7525,2289963.762
Pleasant,298.2444792,514962.8673,2305653.135
Pleasant,298.2749592,516257.1977,2321373.382
Pleasant,298.3054392,517551.528,2337134.847
Pleasant,298.3359192,518785.6569,2352918.29
Pleasant,298.3663992,520049.8866,2368754.543
Pleasant,298.3968792,521253.9148,2384626.949
Pleasant,298.4273592,522668.6479,2400539.902
Pleasant,298.4578392,523752.2733,2416477.155
Pleasant,298.4883192,524835.8987,2432459.287
Pleasant,298.5187992,526130.229,2448478.893
Pleasant,298.5492792,527364.358,2464540.494
Pleasant,298.5797592,528508.1848,2480634.028
Pleasant,298.6102392,529742.3137,2496752.171
Pleasant,298.6407192,530916.2412,2512922.13
Pleasant,298.6711992,531999.8666,2529124.987
Pleasant,298.7016792,533143.6934,2545360.61
Pleasant,298.7321592,534769.1315,2561621.338
Pleasant,298.7626392,536635.3752,2577953.23
Pleasant,298.7931192,538802.626,2594346.128
Pleasant,298.8235992,540969.8768,2610803.213
Pleasant,298.8540792,543528.4367,2627314.836
Pleasant,298.8845592,545605.3854,2643918.358
Pleasant,298.9150392,547351.2263,2660577.112
Pleasant,298.9455192,548765.9595,2677286.365
Pleasant,298.9759992,550060.2898,2694036.869
Pleasant,299.0064792,550873.0088,2710802.824
Pleasant,299.0369592,552107.1378,2727616.188
Pleasant,299.0674392,553371.3674,2744466.785
Pleasant,299.0979192,554635.597,2761357.866
Pleasant,299.1283992,555899.8266,2778270.663
Pleasant,299.1588792,557043.6534,2795235.992
Pleasant,299.1893592,558247.6817,2812235.93
Pleasant,299.2198392,559150.7028,2829270.796
Pleasant,299.2503192,559782.8176,2846309.961
Pleasant,299.2807992,560655.7381,2863390.237
Pleasant,299.3112792,561468.4571,2880494.7
Pleasant,299.3417592,562220.9748,2897624.643
Pleasant,299.3722392,562672.4853,2914774.225
Pleasant,299.4027192,563515.3051,2931924.346
Pleasant,299.4331992,564267.8227,2949114.092
Pleasant,299.4636792,565261.146,2966329.229
Pleasant,299.4941592,566134.0665,2983575.027
Pleasant,299.5246392,566976.8862,3000830.691
Pleasant,299.5551192,568180.9144,3018134.961
Pleasant,299.5855992,569083.9356,3035470.096
Pleasant,299.6160792,569776.2518,3052831.484
Pleasant,299.6465592,570558.8701,3070198.019
Pleasant,299.6770392,571281.2871,3087604.106
Pleasant,299.7075192,572214.4089,3105035.942
Pleasant,299.7379992,573267.9336,3122496.836
Pleasant,299.7684792,574381.6597,3139991.517
Pleasant,299.7989592,575465.2851,3157500.615
Pleasant,299.8294392,576428.5077,3175059.364
Pleasant,299.8599192,577421.831,3192648.95
Pleasant,299.8903992,578385.0535,3210267.825
Pleasant,299.9208792,579077.3698,3227894.696
Pleasant,299.9232,579137.5712,3229237.848
Long,332.8622131,0,0
Long,332.8926931,346.7601258,5.269975056
Long,332.9231731,804.4834918,22.43422032
Long,332.9536531,3308.0916,78.67099189
Long,332.9841331,8384.659841,252.0504198
Long,333.0146131,13620.73774,587.3613661
Long,333.0450931,19238.25178,1089.038864
Long,333.0755731,26215.06551,1776.244246
Long,333.1060531,33906.2051,2693.141809
Long,333.1365331,41084.1397,3837.670335
Long,333.1670131,47887.57337,5188.896172
Long,333.1974931,55190.34162,6757.690708
Long,333.2279731,64462.70738,8579.474946
Long,333.2584531,74588.10305,10699.6712
Long,333.2889331,82716.1604,13113.63175
Long,333.3194131,88285.12802,15726.23987
Long,333.3498931,92910.9081,18485.37849
Long,333.3803731,97044.2888,21383.71788
Long,333.4108531,101233.1511,24407.55401
Long,333.4413331,105643.9399,27559.00926
Long,333.4718131,109666.3574,30841.7381
Long,333.5022931,113577.8116,34246.93333
Long,333.5327731,117253.4689,37767.61149
Long,333.5632531,121088.6359,41400.62287
Long,333.5937331,124306.5699,45140.52945
Long,333.6242131,127364.9942,48977.52104
Long,333.6546931,130423.4185,52905.39113
Long,333.6851731,133565.0652,56924.78819
Long,333.7156531,136457.0447,61041.30455
Long,333.7461331,139480.793,65242.4639
Long,333.7766131,142331.1612,69538.45486
Long,333.8070931,144529.6204,73913.14433
Long,333.8375731,146811.3021,78354.12882
Long,333.8680531,148933.474,82859.20488
Long,333.8985331,150799.0435,87426.204
Long,333.9290131,152824.1226,92055.78438
Long,333.9594931,154849.2018,96743.80054
Long,333.9899731,156513.6504,101485.745
Long,334.0204531,158295.9974,106284.9304
Long,334.0509331,160043.6685,111137.6883
Long,334.0814131,161777.4691,116043.0426
Long,334.1118931,163365.6305,120999.9911
Long,334.1423731,165120.2367,126002.1192
Long,334.1728531,166715.3333,131062.2675
Long,334.2033331,168213.337,136167.5878
Long,334.2338131,169697.4704,141317.7327
Long,334.2642931,171431.271,146513.2344
Long,334.2947731,172818.3115,151764.0938
Long,334.3252531,174198.4168,157052.7098
Long,334.3557331,175765.7726,162388.5832
Long,334.3862131,177229.1003,167765.3428
Long,334.4166931,178796.4561,173190.954
Long,334.4471731,180121.0797,178662.7824
Long,334.4776531,181424.8978,184174.4497
Long,334.5081331,182721.7807,189723.0865
Long,334.5386131,184268.3308,195311.601
Long,334.5690931,185710.853,200951.6426
Long,334.5995731,187014.671,206634.2919
Long,334.6300531,188172.8499,212354.1594
Long,334.6605331,189532.1495,218105.866
Long,334.6910131,190933.0605,223904.2772
Long,334.7214931,192271.5545,229744.632
Long,334.7519731,193582.3078,235624.6517
Long,334.7824531,194802.9035,241540.2811
Long,334.8129331,196065.1103,247497.4391
Long,334.8434131,197417.4748,253494.7774
Long,334.8738931,198485.496,259528.7051
