"lake","elev_m","area_m2","vol_m3","horiz_dist_m","plant_area_m2","upland_m2","upland_pcnt","inland_beach_m2","inland_beach_pcnt","emergent_m2","emergent_pcnt","floating_m2","floating_pcnt","submergent_weed_m2","submergent_weed_pcnt","submergent_algae_m2","submergent_algae_pcnt","submergent_m2","submergent_pcnt","meanHrdAtNest"
"Pleasant",298.2749592,516257.1977,2321373.382,16.7234393676646,571281.2871,43916.9291,7.68744401255217,43405.2171,7.59787132540929,68298.5005,11.9553190419914,88496.0738,15.4908056325866,189845.1487,33.231466352366,306304.7778,53.6171558068876,NA,NA,0.446221635347389
"Pleasant",298.3054392,517551.528,2337134.847,16.3815978753175,571281.2871,42773.1022999999,7.48722271599852,43706.2242000001,7.65056114858345,66793.4652,11.6918699611297,90723.526,15.88071026456,190687.9684,33.3789978257455,307388.4032,53.8068391423073,NA,NA,0.447593938189089
"Pleasant",298.3359192,518785.6569,2352918.29,16.0401414227251,571281.2871,41538.9733999999,7.27119447774398,43977.1306,7.69798199119062,64746.6172,11.3335792125581,92981.0788,16.2758838595958,189604.343,33.1893144903258,308201.1222,53.9491016351199,NA,NA,0.448662132879851
"Pleasant",298.3663992,520049.8866,2368754.543,15.6984572176466,571281.2871,40365.0458999999,7.06570420062336,44880.1517,7.85605142570405,62639.5679,10.9647505203571,93884.1,16.4339533116137,192223.1045,33.6477159046787,309344.949,54.1493229316735,NA,NA,0.450016728928726
"Pleasant",298.3968792,521253.9148,2384626.949,15.3551300526028,571281.2871,39281.4205,6.87602086520366,45181.1587,7.90874123137369,61405.439,10.7487222821026,95027.9268,16.6341746081674,192313.4066,33.6635228463796,310699.4808,54.3864271097004,NA,NA,0.451197241324736
"Pleasant",298.4273592,522668.6479,2400539.902,15.0098916838942,571281.2871,38137.5937,6.67579956865,45692.8707,7.99831391851658,60893.727,10.6591495949597,96171.7537,16.8343959222255,192584.3129,33.7109436714823,312114.2139,54.6340692313568,NA,NA,0.452296819328104
"Pleasant",298.4578392,523752.2733,2416477.155,14.6620622869005,571281.2871,36512.1555999999,6.39127456552041,45482.1658,7.96143105454784,60231.5114,10.5432319874774,97074.7748,16.992465356739,192614.4136,33.7162126520493,313137.6379,54.8132146056426,NA,NA,0.453675119229045
"Pleasant",298.4883192,524835.8987,2432459.287,14.3116498482412,571281.2871,34645.9118999999,6.06459771785512,45331.6623,7.93508615171302,60261.6121,10.5485009680444,98459.4072,17.2348384978283,191590.9896,33.5370672777635,314311.5654,55.0187048827632,NA,NA,0.454938219774775
"Pleasant",298.5187992,526130.229,2448478.893,13.9574719855284,571281.2871,32478.6610999999,5.68523104701567,44579.1445999999,7.80336160252989,59900.4037,10.4852732012408,99603.234,17.435059794382,193306.7298,33.8373992225939,315033.9823,55.1451604338748,NA,NA,0.456031713293922
"Pleasant",298.5492792,527364.358,2464540.494,13.596475637836,571281.2871,30311.4103,5.30586437617624,44488.8426,7.78755467833353,60050.9072,10.5116181040756,100626.658,17.6142051686678,193577.6362,33.8848200652011,316027.3056,55.3190368275937,NA,NA,0.457291470647835
