lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-586.8197120058092,866.1068066934217,279.2870946876126,Pleasant,7,153,4657.0,1993-09-01,1993-10-01
1,-546.1622641722253,884.1351265053772,337.97286233315197,Pleasant,7,154,4688.0,1993-10-01,1993-11-01
1,-486.6336281066117,937.5722344197652,450.9386063131535,Pleasant,7,155,4718.0,1993-11-01,1993-12-01
1,-494.77750050289757,895.3113074135338,400.5338069106362,Pleasant,7,156,4749.0,1993-12-01,1994-01-01
1,-434.9604343979572,937.9871744366515,503.02674003869424,Pleasant,7,157,4780.0,1994-01-01,1994-02-01
1,-486.92814353852776,884.4908472539186,397.5627037153908,Pleasant,7,158,4808.0,1994-02-01,1994-03-01
1,-511.7487912084582,835.0461190893944,323.2973278809362,Pleasant,7,159,4839.0,1994-03-01,1994-04-01
1,-628.6323868556558,809.0054578947484,180.37307103909257,Pleasant,7,160,4869.0,1994-04-01,1994-05-01
1,-545.4105315752781,825.5936694682609,280.1831378929828,Pleasant,7,161,4900.0,1994-05-01,1994-06-01
1,-452.8426127056709,884.9543759002088,432.1117631945379,Pleasant,7,162,4930.0,1994-06-01,1994-07-01
1,-488.68448848179946,910.2544525183397,421.5699640365402,Pleasant,7,163,4961.0,1994-07-01,1994-08-01
1,-426.09045475382965,964.2684954125162,538.1780406586865,Pleasant,7,164,4992.0,1994-08-01,1994-09-01
1,-394.3988943060238,996.9380244823419,602.5391301763182,Pleasant,7,165,5022.0,1994-09-01,1994-10-01
1,-354.0620759366955,974.6112189739265,620.549143037231,Pleasant,7,166,5053.0,1994-10-01,1994-11-01
1,-331.4224766475825,984.3816823441769,652.9592056965944,Pleasant,7,167,5083.0,1994-11-01,1994-12-01
1,-309.703826554833,954.7331885732378,645.0293620184049,Pleasant,7,168,5114.0,1994-12-01,1995-01-01
1,-287.8454050384317,947.4267266140603,659.5813215756286,Pleasant,7,169,5145.0,1995-01-01,1995-02-01
1,-267.7460234765436,918.2242103182688,650.4781868417251,Pleasant,7,170,5173.0,1995-02-01,1995-03-01
1,-309.2583327845321,870.602082572196,561.3437497876639,Pleasant,7,171,5204.0,1995-03-01,1995-04-01
1,-348.03112243360863,834.4038514672627,486.3727290336541,Pleasant,7,172,5234.0,1995-04-01,1995-05-01
1,-378.22172840988657,817.5689987910927,439.3472703812061,Pleasant,7,173,5265.0,1995-05-01,1995-06-01
1,-315.8909871774373,773.1945320516618,457.3035448742245,Pleasant,7,174,5295.0,1995-06-01,1995-07-01
1,-260.0705665790878,756.7524168400901,496.68185026100224,Pleasant,7,175,5326.0,1995-07-01,1995-08-01
1,-302.1702232845649,783.7722329649237,481.6020096803588,Pleasant,7,176,5357.0,1995-08-01,1995-09-01
1,-296.08290322469065,753.897169361765,457.81426613707436,Pleasant,7,177,5387.0,1995-09-01,1995-10-01
