lakeno,gw_in,gw_out,gw_net,lake_name,kstp,kper,mf_time,start_datetime,end_datetime
1,-971.3907348751128,1062.2930108892556,90.9022760141428,Pleasant Lake,4,62,1887.0,2017-02-01,2017-03-01
1,-959.8189333643477,1083.9829416164762,124.16400825212871,Pleasant Lake,4,63,1918.0,2017-03-01,2017-04-01
1,-1011.2080248362137,1066.432815170419,55.224790334205295,Pleasant Lake,4,64,1948.0,2017-04-01,2017-05-01
1,-883.5982727756625,1188.445927455768,304.8476546801055,Pleasant Lake,4,65,1979.0,2017-05-01,2017-06-01
1,-996.4096923642368,1108.1868359713844,111.77714360714764,Pleasant Lake,4,66,2009.0,2017-06-01,2017-07-01
1,-883.0842844220209,1245.167926188772,362.08364176675116,Pleasant Lake,4,67,2040.0,2017-07-01,2017-08-01
1,-734.3667025168328,1426.7354152397152,692.3687127228825,Pleasant Lake,4,68,2071.0,2017-08-01,2017-09-01
1,-675.8610709453841,1499.3382444122446,823.4771734668607,Pleasant Lake,4,69,2101.0,2017-09-01,2017-10-01
1,-619.9534936088322,1564.6959999780222,944.7425063691901,Pleasant Lake,4,70,2132.0,2017-10-01,2017-11-01
1,-620.5305838060351,1545.1474213046702,924.6168374986349,Pleasant Lake,4,71,2162.0,2017-11-01,2017-12-01
1,-600.1971859696738,1550.6923380157486,950.495152046075,Pleasant Lake,4,72,2193.0,2017-12-01,2018-01-01
1,-639.3913286286883,1483.8448287882932,844.4535001596048,Pleasant Lake,4,73,2224.0,2018-01-01,2018-02-01
1,-664.4773711358971,1439.393469985167,774.9160988492698,Pleasant Lake,4,74,2252.0,2018-02-01,2018-03-01
1,-617.109022538051,1458.8279142311878,841.7188916931367,Pleasant Lake,4,75,2283.0,2018-03-01,2018-04-01
1,-774.1975251688516,1309.9175498099687,535.7200246411171,Pleasant Lake,4,76,2313.0,2018-04-01,2018-05-01
1,-900.2312226096041,1197.8831172871508,297.6518946775468,Pleasant Lake,4,77,2344.0,2018-05-01,2018-06-01
1,-861.163239788571,1228.4536207217973,367.29038093322634,Pleasant Lake,4,78,2374.0,2018-06-01,2018-07-01
1,-785.5640381840473,1307.5239380560347,521.9598998719874,Pleasant Lake,4,79,2405.0,2018-07-01,2018-08-01
1,-919.9745981533083,1181.9297278470815,261.9551296937736,Pleasant Lake,4,80,2436.0,2018-08-01,2018-09-01
1,-1057.2311963608338,1070.7651319079757,13.533935547141937,Pleasant Lake,4,81,2466.0,2018-09-01,2018-10-01
1,-1183.3634949567427,998.8958750498364,-184.46761990690618,Pleasant Lake,4,82,2497.0,2018-10-01,2018-11-01
1,-1105.8021965376297,1079.213645370806,-26.58855116682344,Pleasant Lake,4,83,2527.0,2018-11-01,2018-12-01
1,-1010.6707701885176,1187.855562272755,177.18479208423742,Pleasant Lake,4,84,2558.0,2018-12-01,2019-01-01
